ID,名字,技能ID列表,组合技能ID,模型ID,品质,职业,种族,性别,描述,基础战力,成长系数,荣誉碎片,觉醒次数上限,神殿出现概率权重,神殿兑换该英雄的花费,招募权重,怪物副本用到,获奖感言
1001,主角1,0,,1001,4,商人,人类,男,这就是你啊,300,18,0,5,0,0,0;0;0;0;0;0;0,,
1002,主角2,0,,1035,4,法师,人类,男,这就是你啊,300,18,0,5,0,0,0;0;0;0;0;0;0,,
1003,主角3,0,,1025,4,剑士,人类,男,这就是你啊,300,18,0,5,0,0,0;0;0;0;0;0;0,,
1004,主角4,0,,1002,4,武将,人类,女,这就是你啊,300,18,0,5,0,0,0;0;0;0;0;0;0,,
1005,主角5,0,,1014,4,舞姬,人类,女,这就是你啊,300,18,0,5,0,0,0;0;0;0;0;0;0,,
1006,主角6,0,,1010,4,运营商,人类,女,这就是你啊,300,18,0,5,0,0,0;0;0;0;0;0;0,,
10109,油腻的师姐,10077,,1166,0,武斗家,人类,女,不断的寻找，油腻的世界。,90,10,2,3,0,0,300;250;225;200;0;0;0,,点击就送哦。
10110,刚哥,10050,,1152,0,程序猿,人类,男,业务能力极强，但是有点怕老婆。,55,10,2,5,0,0,300;250;225;200;0;0;0,,啦啦啦…啦啦啦…
10111,魔化小男孩,10013,,1057,0,魔人,人类,无,受以太潮影响魔化后的人类。,60,8,2,3,0,0,300;250;225;200;0;0;0,,……
10112,魔化小女孩,10014,,1058,0,魔人,人类,无,受以太潮影响魔化后的人类。,55,8.1,2,3,0,0,300;250;225;200;0;0;0,,……
10113,魔化男孩,11001,,1059,0,魔人,人类,无,受以太潮影响魔化后的人类。,56,8.2,2,3,0,0,300;250;225;200;0;0;0,,……
10114,魔化女孩,11001,,1060,0,魔人,人类,无,受以太潮影响魔化后的人类。,57,8.3,2,3,0,0,300;250;225;200;0;0;0,,……
10115,魔化妇女,11001,,1062,0,魔人,人类,无,受以太潮影响魔化后的人类。,58,8.4,2,3,0,0,300;250;225;200;0;0;0,,……
10116,魔化老头,10016,,1063,0,魔人,人类,无,受以太潮影响魔化后的人类。,59,8.5,2,3,0,0,300;250;225;200;0;0;0,,……
10117,魔化老太,10016,,1064,0,魔人,人类,无,受以太潮影响魔化后的人类。,60,8.6,2,3,0,0,300;250;225;200;0;0;0,,……
10118,魔化商人,10026,,1065,0,魔人,人类,无,受以太潮影响魔化后的人类。,61,8.7,2,3,0,0,300;250;225;200;0;0;0,,……
10119,魔化修女,11001,,1066,0,魔人,人类,无,受以太潮影响魔化后的人类。,62,8.8,2,3,0,0,300;250;225;200;0;0;0,,……
10120,魔化神父,11001,,1067,0,魔人,人类,无,受以太潮影响魔化后的人类。,63,8.9,2,3,0,0,300;250;225;200;0;0;0,,……
10121,魔化土豪,10028,,1068,0,魔人,人类,无,受以太潮影响魔化后的人类。,64,9,2,3,0,0,300;250;225;200;0;0;0,,……
